Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0.1,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0.2,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S107-B0924,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1799 RUSSELL ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S107-B0924,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1799 RUSSELL ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S107-B0924,AI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1799 RUSSELL ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S107-B0924,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1799 RUSSELL ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S107-B0924,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1799 RUSSELL ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S107-B0924,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1799 RUSSELL ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S107-B0924,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1799 RUSSELL ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S107-B0924,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1799 RUSSELL ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S107-B0924,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1799 RUSSELL ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S107-B0924,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1799 RUSSELL ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S127-8125,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,299 ROCHESTER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S127-8125,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,299 ROCHESTER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S127-8125,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,299 ROCHESTER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S127-8125,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,299 ROCHESTER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S127-8125,AI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,299 ROCHESTER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S127-8125,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,299 ROCHESTER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S127-8125,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,299 ROCHESTER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S127-8125,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,299 ROCHESTER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S127-8125,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,299 ROCHESTER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S127-8125,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,299 ROCHESTER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S127-8125,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,299 ROCHESTER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S127-8125,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,299 ROCHESTER STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S116-B0976,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2950 PENNY DRIVE - UNIT 102,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S116-B0976,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2950 PENNY DRIVE - UNIT 102,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S116-B0976,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2950 PENNY DRIVE - UNIT 102,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S116-B0976,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2950 PENNY DRIVE - UNIT 102,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S116-B0976,AI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2950 PENNY DRIVE - UNIT 102,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S116-B0976,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2950 PENNY DRIVE - UNIT 102,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S116-B0976,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2950 PENNY DRIVE - UNIT 102,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S116-B0976,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2950 PENNY DRIVE - UNIT 102,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S116-B0976,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2950 PENNY DRIVE - UNIT 102,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S116-B0976,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2950 PENNY DRIVE - UNIT 102,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S116-B0976,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2950 PENNY DRIVE - UNIT 102,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S116-B0976,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2950 PENNY DRIVE - UNIT 102,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S172-B0850,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2483 WALKLEY ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S172-B0850,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2483 WALKLEY ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S172-B0850,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2483 WALKLEY ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S172-B0850,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2483 WALKLEY ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S172-B0850,AI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2483 WALKLEY ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S172-B0850,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2483 WALKLEY ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S172-B0850,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2483 WALKLEY ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S172-B0850,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2483 WALKLEY ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S172-B0850,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2483 WALKLEY ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S172-B0850,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2483 WALKLEY ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S172-B0850,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2483 WALKLEY ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S172-B0850,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,2483 WALKLEY ROAD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S133-B1069,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1566 STATION BOULEVARD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S133-B1069,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1566 STATION BOULEVARD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S133-B1069,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1566 STATION BOULEVARD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S133-B1069,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1566 STATION BOULEVARD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S133-B1069,AI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1566 STATION BOULEVARD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S133-B1069,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1566 STATION BOULEVARD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S133-B1069,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1566 STATION BOULEVARD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S133-B1069,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1566 STATION BOULEVARD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S133-B1069,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1566 STATION BOULEVARD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S133-B1069,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1566 STATION BOULEVARD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S133-B1069,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1566 STATION BOULEVARD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S133-B1069,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,1566 STATION BOULEVARD,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S061-7184,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,54 PINSON PRIV (AKA 66 FINCH),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S061-7184,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,54 PINSON PRIV (AKA 66 FINCH),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S061-7184,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,54 PINSON PRIV (AKA 66 FINCH),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S061-7184,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,54 PINSON PRIV (AKA 66 FINCH),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S061-7184,AI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,54 PINSON PRIV (AKA 66 FINCH),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S061-7184,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,54 PINSON PRIV (AKA 66 FINCH),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S061-7184,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,54 PINSON PRIV (AKA 66 FINCH),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S061-7184,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,54 PINSON PRIV (AKA 66 FINCH),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S061-7184,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,54 PINSON PRIV (AKA 66 FINCH),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S061-7184,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,54 PINSON PRIV (AKA 66 FINCH),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S061-7184,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,54 PINSON PRIV (AKA 66 FINCH),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S061-7184,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,54 PINSON PRIV (AKA 66 FINCH),,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S179-B0461,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,331 FLORA STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S179-B0461,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,331 FLORA STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S179-B0461,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,331 FLORA STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S179-B0461,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,331 FLORA STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S179-B0461,AI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,331 FLORA STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S179-B0461,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,331 FLORA STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S179-B0461,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,331 FLORA STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,"FIRE ALARM AI,PERIODIC-OTTAWA COMMUNITY HOUSING",0-100013,S179-B0461,MI,100051.0,,06/15/2021,06/15/2016,01/01/2021,,,,,,,,,,331 FLORA STREET,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
