Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0.1,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0.2,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,Colonnade Bridgeport-Route,20-1564JH,AI,,,,2021-10-01,10/01/2020,2021-09-30,,,,3000.0,,,,,"FE,EL",3000 Solandt Rd,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,nan-PreAction,,SAI,,,,,,,,,,0.0,,,,,,3000 solandt,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canadian Tire Coventry (Store #174)-Sprinkler,20-1826BI,MI,,,CT17409,2021-01-01,01/01/2020,2020-12-31,,,,200.0,,,,,"HYD,SPR,WET",330 Coventry,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canadian Tire Coventry (Store #174)-Fire Alarm,20-1826BI,MI,,,CT17409,2021-01-01,01/01/2020,2020-12-31,,,,200.0,,,,,FA,330 Coventry,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canadian Tire Coventry (Store #174)-Route,20-1826BI,MI,,,CT17409,2021-01-01,01/01/2020,2020-12-31,,,,200.0,,,,,"FE,EL,FHC",330 Coventry,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Innes Centre Inc-Sprinkler,20-1669MT,AI,,,,2021-07-01,07/01/2020,2021-06-30,,,,170.0,,,,,HYD,1940 Innes Rd,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,McArthur Plaza Shopping Centre Ltd. c/o District Realty-Route,20-1802JH,AI,,,,2021-09-01,09/01/2020,2021-08-31,,,,1000.0,,,,,"FE,EL",320 McArthur Rd,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inside Edge-Sprinkler,20-1851BI,AI,,,,2021-09-01,09/01/2020,2021-08-31,,,,1450.0,,,,,DRY,541 Sussex,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inside Edge-Fire Alarm,20-1851BI,AI,,,,2021-09-01,09/01/2020,2021-08-31,,,,1450.0,,,,,FA,541 Sussex,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Inside Edge-Route,20-1851BI,AI,,,,2021-09-01,09/01/2020,2021-08-31,,,,1450.0,,,,,"FE,EL,FHC",541 Sussex,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,ColonnadeBridgePort-Sprinkler,20-1776JH,AI,,,,2021-10-01,10/01/2020,2021-09-30,,,,800.0,,,,,"BF,SPR,WET",53 Auriga Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,ColonnadeBridgePort-Fire Alarm,20-1776JH,AI,,,,2021-10-01,10/01/2020,2021-09-30,,,,800.0,,,,,FA,53 Auriga Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,ColonnadeBridgePort-Route,20-1776JH,AI,,,,2021-10-01,10/01/2020,2021-09-30,,,,800.0,,,,,"EL,EXT",53 Auriga Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,ColonnadeBridgePort-Sprinkler,20-1776JH,MI,,,,2021-01-01,01/01/2020,2020-12-31,,,,285.0,,,,,"SPR,WET",53 Auriga Dr,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
