Added Field - Active?,Field,Agreement #,Description,Alt Agreement,Agreement Type (Data Pull),Agreement Type (For Entry),Customer,Customer PO,Effective Date,Original Date,Expiration Date,Renew Through,Renew Markup,Rate Template,Agreement Price,Revenue Recognition,Auto Schedule Trips,0,Seq1,Description1,Service Site,Call Type,Service Center,Division,Tax Source,Separate Work Order,Auto Schedule Trip1,Pricing,Contact Before Scheduling,Auto Schedule Trip,Due,RecurringPatternType,See recurring options in screenshot >,Billing Seq1,Date1,Billing Amount1,Tax Type1,Tax Basis1,Seq2,Material,UM,Matl Qty,Cost ECM,Seq,Qty,Deferral1,Date2,Amount1,0,Billing Seq,Date3,Billing Amount,Tax Type,Tax Code,Tax Basis,Tax Amount,0,Deferral,Date,Amount,Should auto-populate based on Work Schedule.
,,,9197397 Canada Inc. c/o Epic Realty Partners (Ottawa) Inc.-Sprinkler,16-1001MT,AI,,NA,,,,01/01/2021,,,,1940.0,,,,,"FP,HYD,SPR,WET",2204 Walkley Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,9197397 Canada Inc. c/o Epic Realty Partners (Ottawa) Inc.-Fire Alarm,16-1001MT,AI,,NA,,,,01/01/2021,,,,1940.0,,,,,FA,2204 Walkley Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,9197397 Canada Inc. c/o Epic Realty Partners (Ottawa) Inc.-Route,16-1001MT,AI,,NA,,,,01/01/2021,,,,1940.0,,,,,"FE,EL,FHC",2204 Walkley Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,British High Commission-Monitoring Services  Fire,13-1008RS,MONITORING,,NA,,02/01/2021,02/01/2013,01/01/2021,,,,960.0,,,,,,140 Sussex Drive Commisioner Residence,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Sprinkler,19-1427JP,AI,,NA,,05/01/2021,05/01/2019,01/01/2021,,,,2040.0,,,,,"HYD,SPR,WET",1705-17 1719-49 St. Laurent AND 2220-34 Gladwin,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Route,19-1427JP,AI,,NA,,05/01/2021,05/01/2019,01/01/2021,,,,2040.0,,,,,"FE,EL",1705-17 1719-49 St. Laurent AND 2220-34 Gladwin,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Calfra Management Limited-Monitoring,19-1427JP,AI,,NA,,05/01/2021,05/01/2019,01/01/2021,,,,2040.0,,,,,FIRE,1705-17 1719-49 St. Laurent AND 2220-34 Gladwin,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canadian Bank Note Company Limited-Fire Alarm,18-1696BS,AI,,NA,,11/01/2021,11/01/2018,01/01/2021,,,,0.0,,,,,"FA,CO,VOICE",145 Richmond Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Canadian Bank Note Company Limited-Route,18-1696BS,AI,,NA,,11/01/2021,11/01/2018,01/01/2021,,,,0.0,,,,,"FHC,FLCS,EXT",145 Richmond Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Heritage College-Sprinkler,18-1000BS,AI,,100399,,,,01/01/2021,,,,0.0,,,,,"HYD,BF,SPR,WET,GLYCOL","325 Cité des Jeunes, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Heritage College-Fire Alarm,18-1000BS,AI,,100399,,,,01/01/2021,,,,0.0,,,,,FA,"325 Cité des Jeunes, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Heritage College-Route,18-1000BS,AI,,100399,,,,01/01/2021,,,,0.0,,,,,FLCS,"325 Cité des Jeunes, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Heritage College-Route,18-1000BS,AI,,100399,,,,01/01/2021,,,,0.0,,,,,FHC,"325 Cité des Jeunes, Hull",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade BridgePort-Sprinkler,Tender-19-1140,AI,,100303,,07/01/2021,07/01/2019,01/01/2021,,,,0.0,,,,,"HYD,SPR,WET",450 March Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade BridgePort-Fire Alarm,Tender-19-1140,AI,,100303,,07/01/2021,07/01/2019,01/01/2021,,,,0.0,,,,,FA,450 March Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colonnade BridgePort-Route,Tender-19-1140,AI,,100303,,07/01/2021,07/01/2019,01/01/2021,,,,0.0,,,,,"FE,EL,FHC",450 March Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Richmond Heights Apartments-Monitoring Services  Fire DVAC,05-1436,MONITORING,,100201,,11/01/2021,11/01/2005,01/01/2021,,,,816.0,,,,,,2841 Richmond Road - Richmond Height Apts,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Export Development Canada-Route,11-1153,SAI,,NA,,,,01/01/2021,,,,2985.0,,,,,FE,151 O'Connor/251 Laurier,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Maxville Manor-KitcHen system inspection by otHers,18-1545JP-REV,SAI,,100020,,,,01/01/2021,,,,0.0,,,,,,"80 Mechanic Street East, Maxville",,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Sprinkler,19-1255JP,AI,,NA,,,,01/01/2021,,,,160.0,,,,,"SPR,WET",8 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Fire Alarm,19-1255JP,AI,,NA,,,,01/01/2021,,,,160.0,,,,,FA,8 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Route,19-1255JP,AI,,NA,,,,01/01/2021,,,,160.0,,,,,"FE,EL",8 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Sprinkler,19-1255JP,MI,,NA,,,,01/01/2021,,,,160.0,,,,,"SPR,WET",8 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Fire Alarm,19-1255JP,MI,,NA,,,,01/01/2021,,,,160.0,,,,,FA,8 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,Colliers International (Invoice CanFirst Ottawa Properties Inc.)-Route,19-1255JP,MI,,NA,,,,01/01/2021,,,,160.0,,,,,"FE,EL",8 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CR4 Ottawa Flex Office Inc c/o Colliers International-Fire Alarm,19-1255JP,AI,,NA,,,,01/01/2021,,,,160.0,,,,,FA,20 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CR4 Ottawa Flex Office Inc c/o Colliers International-Route,19-1255JP,AI,,NA,,,,01/01/2021,,,,160.0,,,,,EL,20 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CR4 Ottawa Flex Office Inc c/o Colliers International-Fire Alarm,19-1255JP,MI,,NA,,01/01/2021,01/01/2019,01/01/2021,,,,160.0,,,,,FA,20 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
,,,CR4 Ottawa Flex Office Inc c/o Colliers International-Route,19-1255JP,MI,,NA,,01/01/2021,01/01/2019,01/01/2021,,,,160.0,,,,,EL,20 Colonnade Road,,,,,,,0,,,,,,,01/01/2021,,,,,,,,,,,,01/01/2021,,,,01/01/2021,,,,,,,,01/01/2021,,
